Lattice,E_tot,E_fermi
2.582,-152.857753,-5.61605032472327
2.583,-152.856902,-5.61828248043092
2.584,-152.856043,-5.62064713585776
2.585,-152.855171,-5.62300400210573
2.586,-152.854284,-5.62535588449333
2.587,-152.853383,-5.62770145674919
2.588,-152.852468,-5.63004123255047
2.589,-152.851539,-5.63237471349027
2.59,-152.850597,-5.63470183736426
2.591,-152.849641,-5.63702285162837
2.592,-152.848671,-5.63933768360347
2.593,-152.847691,-5.64163474075355
2.594,-152.846689,-5.64395834435673
2.595,-152.845662,-5.64627531412744
2.596,-152.844538,-5.64868589351275
2.597,-152.843413,-5.65097420020255
2.598,-152.842552,-4.76112448749305
2.599,-152.841490,-4.76411965578489
2.6,-152.840431,-4.76711081592012
2.601,-152.839327,-4.77008621741039
2.602,-152.838225,-4.77305778786242
2.603,-152.837109,-4.77602158091221
2.604,-152.835981,-4.77897751266955
2.605,-152.834839,-4.78192569596471
2.606,-152.833683,-4.78486607352113
2.607,-152.832515,-4.78779863937365
2.608,-152.831333,-4.79072337401427
2.609,-152.830138,-4.79364026903845
2.61,-152.828930,-4.79654930523255
2.611,-152.827709,-4.79945077535003
2.612,-152.826475,-4.80234428611206
2.613,-152.825227,-4.80648554165321
2.614,-152.823966,-4.80934088447461
2.615,-152.822693,-4.81218871996427
2.616,-152.821407,-4.81502928486468
2.617,-152.820108,-4.81786222812162
2.618,-152.818795,-4.82067535388292
2.619,-152.817470,-4.82349469882008
2.62,-152.816117,-4.82630240503399
2.621,-152.814782,-4.82911025318957
2.622,-152.813420,-4.83190629166932
2.623,-152.812035,-4.83472810204487
2.624,-152.810647,-4.83750844841746
2.625,-152.809246,-4.84028038280807
2.626,-152.807833,-4.84304485973620
2.627,-152.806406,-4.84580070761563
2.628,-152.804968,-4.84854818840503
2.629,-152.803517,-4.85128759908085
2.63,-152.802053,-4.85401841072422
2.631,-152.800577,-4.85674073665662
2.632,-152.799088,-4.85945448207951
2.633,-152.797587,-4.86215957225701
2.634,-152.796073,-4.86485599781263
2.635,-152.794548,-4.86754366261004
2.636,-152.793009,-4.87022250534730
2.637,-152.791459,-4.87289246479284
2.638,-152.789896,-4.87555348144554
2.639,-152.788321,-4.87820548123062
2.64,-152.786717,-4.88084452461567
2.641,-152.785133,-4.88348228041943
2.642,-152.783521,-4.88610696353093
2.643,-152.781897,-4.88872229375759
2.644,-152.780260,-4.89132855641401
2.645,-152.778612,-4.89392547451164
2.646,-152.776951,-4.89651319461062
2.647,-152.775278,-4.89909143286885
2.648,-152.773593,-4.90166038357393
2.649,-152.771896,-4.90421998579893
2.65,-152.770187,-4.90677027079154
2.651,-152.768466,-4.90931110437823
